"Frage","Antwort"
"Wie alt muss man für den Führerschein Klasse B sein?","Für den Pkw-Führerschein (Klasse B) musst du mindestens 18 Jahre alt sein. Mit begleitetem Fahren schon ab 17 Jahren."
"Kann ich den Führerschein schon mit 17 machen?","Ja, mit dem Modell 'Begleitetes Fahren ab 17' kannst du ab 17 Jahren fahren – allerdings nur in Begleitung einer eingetragenen Person."
"Welche Führerscheinklassen gibt es?","Es gibt viele Klassen, z. B. AM, A1, A2, A, B, BE, C, CE, D. Für Pkw ist die Klasse B relevant."
"Wie lange dauert die Ausbildung zum Führerschein?","Die Dauer hängt von deiner Lernfortschritt ab – im Durchschnitt 2–6 Monate."
"Wie viele Fahrstunden braucht man mindestens?","Es gibt Pflichtstunden (Sonderfahrten), die du machen musst. Die Anzahl der Übungsstunden ist individuell."
"Was kostet der Führerschein Klasse B ungefähr?","Die Kosten liegen meist zwischen 1.500 und 2.500 Euro, abhängig von Region und Fahrschule."
"Gibt es Unterschiede zwischen Automatik- und Schaltführerschein?","Ja. Mit Automatik-Führerschein darfst du nur Automatikfahrzeuge fahren, es sei denn, du legst eine Schaltwagen-Prüfung nach."
"Darf man mit Automatik-Führerschein auch Schaltwagen fahren?","Nein, nur mit Automatik. Wenn du eine Schaltwagen-Prüfung ablegst, wird die Beschränkung aufgehoben."
"Kann ich mit Führerschein Klasse B Motorrad fahren?","Nein, nur kleine Roller (Klasse AM). Für Motorräder brauchst du Klasse A."
"Was passiert, wenn ich die Prüfung nicht bestehe?","Du kannst die Prüfung nach einer Wartezeit von 2 Wochen wiederholen."
"Wie melde ich mich bei einer Fahrschule an?","Einfach zur Fahrschule gehen oder online anmelden, Ausweis und biometrisches Foto mitbringen."
"Welche Unterlagen brauche ich für die Anmeldung?","Personalausweis, biometrisches Passfoto, Sehtest-Bescheinigung, Erste-Hilfe-Kurs."
"Muss ich ein Passfoto für den Führerschein mitbringen?","Ja, ein biometrisches Passfoto wird benötigt."
"Brauche ich einen Erste-Hilfe-Kurs für den Führerschein?","Ja, der Nachweis über einen Erste-Hilfe-Kurs ist Pflicht."
"Wo bekomme ich einen Sehtest für den Führerschein?","Den Sehtest kannst du bei einem Optiker oder Augenarzt machen."
"Muss ich meinen Ausweis zur Fahrschule mitbringen?","Ja, ein gültiger Ausweis oder Reisepass ist erforderlich."
"Kann ich die Fahrschule wechseln?","Ja, ein Wechsel ist jederzeit möglich, bereits absolvierte Stunden werden angerechnet."
"Was kostet ein Fahrschulwechsel?","Das hängt von der Fahrschule ab, oft fällt eine Anmeldegebühr an."
"Kann ich mehrere Führerscheinklassen gleichzeitig machen?","Ja, z. B. B und BE oder A und B zusammen."
"Wie läuft die Anmeldung zur Prüfung ab?","Die Fahrschule meldet dich bei der Prüfstelle (TÜV oder DEKRA) an."
"Wie viele Theorie-Stunden sind Pflicht?","Für Klasse B sind 14 Doppelstunden Pflicht (12 Grundstoff, 2 Zusatzstoff)."
"Welche Themen werden im Theorieunterricht behandelt?","Verkehrsregeln, Umweltbewusstsein, Technik, Verhalten in Gefahrensituationen, Vorfahrt, Verkehrszeichen."
"Kann ich Theorieunterricht auch online machen?","In manchen Bundesländern ja, das hängt von der Fahrschule ab."
"Wie viele Pflichtstunden Theorie gibt es für Klasse B?","12 Doppelstunden Grundstoff, plus 2 Doppelstunden Zusatzstoff."
"Kann ich Theorieunterricht auch mehrfach besuchen?","Ja, Wiederholungen sind erlaubt und sinnvoll."
"Wie lange dauert eine Theorie-Stunde?","Eine Theorie-Stunde dauert 90 Minuten (Doppelstunde)."
"Was passiert, wenn ich eine Theorie-Stunde verpasse?","Dann musst du die Stunde nachholen."
"Muss ich die gesamte Theorie besuchen, bevor ich Prüfung machen darf?","Ja, die Pflichtstunden müssen vollständig absolviert sein."
"Gibt es eine Frist für den Theorieunterricht?","Ja, die Theorieprüfung muss innerhalb von 12 Monaten nach Anmeldung abgelegt werden."
"Kann ich die Theorieprüfung in einer anderen Sprache ablegen?","Ja, die Prüfung ist in vielen Sprachen verfügbar, z. B. Englisch, Türkisch, Russisch."
"Wie läuft die Theorieprüfung ab?","Am Computer beim TÜV oder DEKRA, Multiple-Choice-Fragen."
"Wie viele Fragen hat die Theorieprüfung?","30 Fragen für Klasse B."
"Wie viele Fehlerpunkte darf man haben?","Maximal 10 Fehlerpunkte. Bei zwei 5-Punkte-Fehlern ist die Prüfung nicht bestanden."
"Wie bereite ich mich am besten auf die Theorieprüfung vor?","Mit der offiziellen App oder Lernmaterialien der Fahrschule."
"Wo findet die Theorieprüfung statt?","Beim TÜV oder der DEKRA in deiner Region."
"Muss ich etwas zur Theorieprüfung mitbringen?","Ja, Personalausweis und Prüfungsgebühr."
"Wie viel kostet die Theorieprüfung?","Rund 22–25 Euro."
"Wie lange dauert die Theorieprüfung?","Etwa 30 Minuten."
"Kann man die Theorieprüfung online machen?","Nein, nur vor Ort bei TÜV oder DEKRA."
"Was passiert, wenn ich durchfalle?","Dann musst du 2 Wochen warten und kannst die Prüfung wiederholen."
"Wie viele Pflichtfahrstunden gibt es?","5 Überlandfahrten, 4 Autobahnfahrten, 3 Nachtfahrten."
"Welche Sonderfahrten muss ich machen?","Überland, Autobahn und Nachtfahrten."
"Was sind Überlandfahrten?","Fahrten außerhalb geschlossener Ortschaften."
"Wie viele Nachtfahrten sind Pflicht?","3 Fahrten bei Dunkelheit."
"Was sind Autobahnfahrten?","Fahrten auf Schnellstraßen und Autobahnen."
"Kann ich Fahrstunden frei planen?","Ja, in Absprache mit deinem Fahrlehrer."
"Wie lange dauert eine Fahrstunde?","45 Minuten."
"Kann ich mehrere Fahrstunden am Tag machen?","Ja, das ist möglich."
"Was passiert, wenn ich eine Fahrstunde absage?","Sag rechtzeitig ab, sonst kann sie berechnet werden."
"Wie viel kostet eine Fahrstunde?","Zwischen 40 und 70 Euro, je nach Region."
"Was ist ein Intensivkurs für den Führerschein?","Ein kompakter Kurs, bei dem Theorie und Praxis in kurzer Zeit vermittelt werden."
"Wie lange dauert ein Intensivkurs?","Zwischen 7 und 14 Tagen."
"Kann ich den Führerschein in 2 Wochen machen?","Ja, mit einem Intensivkurs ist das möglich."
"Für wen ist ein Intensivkurs geeignet?","Für alle, die wenig Zeit haben oder in den Ferien den Führerschein machen wollen."
"Wie viel kostet ein Intensivkurs?","Etwa 2.000 bis 3.000 Euro."
"Kann ich in den Ferien einen Intensivkurs machen?","Ja, viele Fahrschulen bieten Ferienkurse an."
"Gibt es Intensivkurse für Theorie und Praxis zusammen?","Ja, beides wird im Intensivkurs kombiniert."
"Muss ich Vorkenntnisse für einen Intensivkurs haben?","Nein, Vorkenntnisse sind nicht erforderlich."
"Wo finden Intensivkurse statt?","In der Fahrschule oder an speziellen Standorten."
"Was passiert, wenn ich im Intensivkurs nicht bestehe?","Dann kannst du die Ausbildung normal fortsetzen und nachholen."
"Wie läuft die praktische Prüfung ab?","Du fährst ca. 45 Minuten mit einem Prüfer und deinem Fahrlehrer."
"Wie lange dauert die Fahrprüfung?","Etwa 45 Minuten."
"Welche Aufgaben gibt es in der Prüfung?","Anfahren, Abbiegen, Parken, Fahrten auf Landstraße, Autobahn und innerorts."
"Was kostet die praktische Prüfung?","Rund 120 Euro."
"Was passiert, wenn ich die Fahrprüfung nicht bestehe?","Du musst nach einer Wartezeit erneut antreten."
"Kann ich die Prüfung auch in Automatik ablegen?","Ja, dann gilt der Führerschein aber nur für Automatikfahrzeuge."
"Wie oft darf ich durch die Prüfung fallen?","So oft, bis du bestehst – aber jede Wiederholung kostet Gebühren."
"Was passiert, wenn ich während der Prüfung einen Fehler mache?","Kleine Fehler sind erlaubt. Schwere Fehler führen zum Nichtbestehen."
"Wie lange ist der Führerschein gültig?","Der Führerschein ist unbegrenzt gültig, die Plastikkarte muss alle 15 Jahre erneuert werden."
"Brauche ich einen Erste-Hilfe-Kurs für den Führerschein?","Ja, das ist Pflicht."
"Kann ich die Fahrprüfung auch auf Englisch machen?","Nein, nur die Theorieprüfung gibt es in Fremdsprachen."
"Darf ich mit Klasse B einen Anhänger ziehen?","Ja, bis 750 kg, oder bis 3,5 t Gesamtgewicht (Auto + Anhänger)."
"Was ist Führerschein Klasse BE?","Damit darfst du größere Anhänger über 750 kg ziehen."
"Kann ich den BE-Führerschein direkt mitmachen?","Ja, das ist möglich."
"Wie teuer ist eine Fahrstunde für Anhänger?","Etwa 70 bis 90 Euro."
"Wie läuft die BE-Prüfung ab?","Du fährst mit Anhänger und musst Rangieraufgaben lösen."
"Kann ich mit Klasse B Motorrad fahren?","Nur Roller bis 50 ccm (Klasse AM)."
"Was ist die B196-Regelung?","Damit darfst du Leichtkrafträder bis 125ccm fahren, wenn du 25 Jahre alt bist und 5 Jahre Klasse B hast."
"Wie beantrage ich die B196-Erweiterung?","Über die Fahrschule, mit Theorie und Praxisstunden, aber ohne Prüfung."
"Wie teuer ist B196?","Etwa 700 bis 1.000 Euro."
"Kann ich den Führerschein in Raten zahlen?","Viele Fahrschulen bieten Ratenzahlung an."
"Gibt es eine Mindestanzahl an Übungsstunden?","Nein, nur Pflichtstunden. Übungsstunden sind individuell."
"Was ist, wenn ich lange keine Prüfung mache?","Dein Antrag verfällt nach 12 Monaten für Theorie, 18 Monaten für Praxis."
"Wie melde ich mich zur Theorieprüfung an?","Die Fahrschule übernimmt die Anmeldung."
"Wie melde ich mich zur Praxisprüfung an?","Ebenfalls über die Fahrschule."
"Kann ich die Prüfungen auch an einem Tag machen?","Nein, erst Theorie, dann Praxis."
"Wie viele Fragen muss ich lernen?","Über 1.000 offizielle Fragen im Fragenkatalog."
"Ändert sich der Fragenkatalog?","Ja, zweimal pro Jahr kommen neue Fragen hinzu."
"Kann ich mit Klasse B ein Wohnmobil fahren?","Ja, bis 3,5 t."
"Brauche ich einen speziellen Führerschein für Wohnmobile?","Ab 3,5 t brauchst du Klasse C1."
"Kann ich mit Führerschein B auch einen Transporter fahren?","Ja, solange das Gesamtgewicht unter 3,5 t liegt."
"Was ist die Probezeit beim Führerschein?","Sie dauert 2 Jahre. Bei Verstößen kann sie verlängert werden."
"Was passiert bei einem A-Verstoß in der Probezeit?","Die Probezeit verlängert sich auf 4 Jahre, dazu Aufbauseminar."
"Was passiert bei einem B-Verstoß in der Probezeit?","Zwei B-Verstöße gelten wie ein A-Verstoß."
"Kann ich im Urlaub Fahrschule machen?","Ja, es gibt Ferienfahrschulen mit Intensivkursen."
"Wie viel kostet der Führerschein in anderen Ländern?","Die Preise variieren, in Deutschland meist 1.500–2.500 Euro."
"Kann ich den Führerschein im Ausland machen?","Ja, aber er muss in Deutschland anerkannt werden."
"Was ist eine MPU?","Die Medizinisch-Psychologische Untersuchung, erforderlich z. B. nach Alkohol- oder Drogendelikten."
"Wie bereite ich mich auf die MPU vor?","Mit einer Beratungsstelle oder speziellen MPU-Kursen."
"Charly, wie funktionierst du?","Das ist eine sehr gute Frage! Einfach erklärt: Ich besitze einen FAQ Katalog, den die Anna mir erstellt hat. In erster Linie versuche ich meine Antworten auf eure Fragen daraus zu ziehen. Wenn ich dort aber keine passende Antwort finde, aktiviere ich die KI und suche im Netz nach passenden Antworten. :)"
